name,core,rc,routing,init_s,lookup_s,exec_s,wall_s,init_peak_mem_gb,exec_peak_mem_gb,cache_references,cache_misses,cache_miss_rate,perf_file
dragonfly-h4-rb-ar-1MB,31,0,RuleBased,0.353427,3.68261,307.661,310.3351135253906,0.068817138671875,1.7801284790039062,,,,
dragonfly-h4-bfs-ar-1MB,32,0,NodeBfs,3.56441,19.8879,368.234,375.4011914730072,0.3323478698730469,2.0481033325195312,,,,
dragonfly-h4-rb-ar-8MB,33,0,RuleBased,0.35435,59.0505,1762.79,1766.8125,0.06859588623046875,6.056987762451172,,,,
dragonfly-h4-bfs-ar-8MB,34,0,NodeBfs,3.45554,88.1745,1775.06,1781.8270506858826,0.3324089050292969,6.3625335693359375,,,,
dragonfly-h4-rb-ar-16MB,35,0,RuleBased,0.349866,96.0088,2693.91,2697.7104291915894,0.06869125366210938,6.990386962890625,,,,
dragonfly-h4-bfs-ar-16MB,36,0,NodeBfs,3.5165,129.349,2723.5,2732.7453305721283,0.3323974609375,7.323600769042969,,,,
dragonfly-h4-rb-ar-64MB,37,0,RuleBased,0.351374,301.451,8002.24,8008.044200181961,0.068603515625,8.76217269897461,,,,
dragonfly-h4-bfs-ar-64MB,38,0,NodeBfs,3.4263,352.672,8029.19,8038.069304227829,0.3326911926269531,9.107429504394531,,,,
dragonfly-h4-rb-ar-128MB,39,0,RuleBased,0.349599,551.427,14706.4,14709.637622117996,0.06884002685546875,9.108386993408203,,,,
dragonfly-h4-bfs-ar-128MB,40,0,NodeBfs,3.52563,639.237,15003.8,15009.924522399902,0.33266448974609375,9.431182861328125,,,,
