name,core,rc,routing,init_s,lookup_s,exec_s,wall_s,init_peak_mem_gb,exec_peak_mem_gb,cache_references,cache_misses,cache_miss_rate,perf_file
dragonfly-h2-glo-ar-1MB,31,0,Global,0.09227,,16.8949,20.02152132987976,0.020648956298828125,0.13415908813476562,,,,
dragonfly-h2-rb-ar-1MB,31,0,RuleBased,0.038689,0.014628,11.8193,15.019489049911499,0.0189056396484375,0.1322021484375,,,,
dragonfly-h2-bfs-ar-1MB,32,0,NodeBfs,0.047696,0.00107,11.7791,15.019153594970703,0.0197906494140625,0.13333892822265625,,,,
dragonfly-h4-rb-ar-1MB,36,0,RuleBased,0.355681,17.1724,459.908,465.4853022098541,0.06829071044921875,1.7796745300292969,,,,
dragonfly-h4-bfs-ar-1MB,37,0,NodeBfs,3.62901,29.2141,466.694,475.49537801742554,0.3322029113769531,2.047893524169922,,,,
dragonfly-h4-glo-ar-1MB,38,0,Global,81.9734,4523.36,5072.96,5160.273255348206,0.33411407470703125,2.0498008728027344,,,,
dragonfly-h6-rb-ar-1MB,33,0,RuleBased,1.69989,72.0699,1981.06,1987.0358605384827,0.27834320068359375,8.883651733398438,,,,
dragonfly-h6-bfs-ar-1MB,34,0,NodeBfs,104.543,111.511,1993.19,2117.168753385544,6.577201843261719,15.209896087646484,,,,
dragonfly-h6-glo-ar-1MB,32,0,Global,10786.1,,93583.5,104379.20502233505,5.0382537841796875,13.670394897460938,,,,
dragonfly-h8-rb-ar-1MB,39,0,RuleBased,5.70902,389.543,9734.78,9754.82596874237,0.83599853515625,27.89160919189453,,,,
dragonfly-h8-bfs-ar-1MB,40,0,NodeBfs,2346.15,667.871,9356.76,11972.003701210022,59.36847686767578,86.49195098876953,,,,
dragonfly-h8-glo-ar-1MB,31,0,Global,,,,,,,,,,
dragonfly-h10-rb-ar-1MB,35,0,RuleBased,13.5884,698.579,18319.7,18358.67993593216,2.015827178955078,67.9691162109375,,,,
dragonfly-h10-bfs-ar-1MB,36,0,NodeBfs,9496.02,1168.48,21174.1,31672.182542562485,337.3995780944824,403.4811668395996,,,,
dragonfly-h10-glo-ar-1MB,31,0,Global,,,,,,,,,,
dragonfly-h14-rb-ar-1MB,31,0,RuleBased,54.2202,2762.54,76233.3,76383.2550971508,7.618743896484375,260.8490982055664,,,,
dragonfly-h14-bfs-ar-1MB,31,0,NodeBfs,,,,,,,,,,
dragonfly-h14-glo-ar-1MB,31,0,Global,,,,,,,,,,
