name,topology,k,failure_rate,routing,rc,init_s,exec_s,bfs_routing_s,wall_s,exec_peak_mem_gb,exec_peak_mem_bytes,failure_update_count,failure_update_total_s,failure_update_p90_s,failure_update_p95_s,failure_update_p99_s,failure_forward_exc_trie_total_s,forward_lookup_count,forward_lookup_total_s,forward_lookup_avg_s
fattree-failure-ft-k8-fr0.001-rulebased,fattree,8,0.001,RuleBased,0,0.063419,19.724100,,20.144062,0.263470,282898432,1,0.000505,0.000505,0.000505,0.000505,0.000103,2248264,0.125881,0.000000000
fattree-failure-ft-k8-fr0.001-nodebfs,fattree,8,0.001,NodeBfs,0,0.111843,17.636500,0.048524,18.129716,0.271053,291041280,,,,,,0.000000,2166408,0.009103,0.000000000
fattree-failure-ft-k16-fr0.001-rulebased,fattree,16,0.001,RuleBased,0,0.384980,116.347000,,120.178351,2.042789,2193428480,3,0.004340,0.002895,0.003198,0.003440,0.000432,11959124,1.706940,0.000000000
fattree-failure-ft-k16-fr0.001-nodebfs,fattree,16,0.001,NodeBfs,0,4.756280,107.166000,4.365060,116.004479,2.331936,2503897088,,,,,,0.000000,11737662,0.468370,0.000000000
fattree-failure-ft-k24-fr0.001-rulebased,fattree,24,0.001,RuleBased,0,1.274560,429.171000,,432.332326,6.776073,7275753472,7,0.027828,0.008355,0.010750,0.012667,0.001457,36170810,8.879419,0.000000000
fattree-failure-ft-k24-fr0.001-nodebfs,fattree,24,0.001,NodeBfs,0,57.987500,395.022000,56.703500,461.232192,10.047047,10787934208,,,,,,0.000000,35132173,5.475637,0.000000000
fattree-failure-ft-k32-fr0.001-rulebased,fattree,32,0.001,RuleBased,0,3.045690,1119.440000,,1127.177701,15.082077,16194256896,17,0.149457,0.012673,0.018780,0.033707,0.005173,83021114,28.763536,0.000000000
fattree-failure-ft-k32-fr0.001-nodebfs,fattree,32,0.001,NodeBfs,0,406.027000,992.756000,403.013000,1435.739771,31.912380,34265657344,,,,,,0.000000,78778522,16.312605,0.000000000
fattree-failure-ft-k40-fr0.001-rulebased,fattree,40,0.001,RuleBased,0,5.967210,2374.070000,,2389.399817,28.347229,30437605376,32,0.468984,0.024522,0.026675,0.048357,0.004193,161400628,97.159898,0.000001000
fattree-failure-ft-k40-fr0.001-nodebfs,fattree,40,0.001,NodeBfs,0,2005.330000,2023.550000,1999.420000,4171.954345,96.860584,104003260416,,,,,,0.000000,149099129,35.178373,0.000000000
fattree-failure-ft-k48-fr0.001-rulebased,fattree,48,0.001,RuleBased,0,10.401500,4352.060000,,4379.178393,47.746830,51267768320,56,1.676282,0.041470,0.042616,0.096460,0.034450,279096030,204.461300,0.000001000
fattree-failure-ft-k48-fr0.001-nodebfs,fattree,48,0.001,NodeBfs,0,6421.820000,3527.670000,6411.450000,10366.330184,243.656116,261623762944,,,,,,0.000000,253219682,61.245807,0.000000000
fattree-failure-ft-k56-fr0.001-rulebased,fattree,56,0.001,RuleBased,0,16.599000,7179.850000,,7223.501446,74.377346,79862067200,88,3.624858,0.067186,0.070002,0.088427,0.031844,440252800,357.184417,0.000001000
fattree-failure-ft-k56-fr0.001-nodebfs,fattree,56,0.001,NodeBfs,0,17427.000000,6100.940000,17410.500000,25271.405804,557.021683,598097477632,,,,,,0.000000,396399886,144.219505,0.000000000
fattree-failure-ft-k64-fr0.001-rulebased,fattree,64,0.001,RuleBased,0,25.167800,11097.600000,,11163.664058,109.709774,117799972864,132,7.284186,0.102779,0.108148,0.114643,0.094084,656488373,586.826272,0.000001000
