name,core,rc,routing,init_s,lookup_s,exec_s,wall_s,init_peak_mem_gb,exec_peak_mem_gb,cache_references,cache_misses,cache_miss_rate,perf_file
fattree-k24-rb-ar-1MB,21,0,RuleBased,1.28419,4.67889,447.856,455.4871413707733,0.21391677856445312,6.7730560302734375,,,,
fattree-k24-bfs-ar-1MB,22,0,NodeBfs,64.7266,8.54777,445.602,520.5536901950836,3.483837127685547,10.044517517089844,,,,
fattree-k24-rb-ar-8MB,23,0,RuleBased,1.2708,51.3736,2238.53,2247.3324542045593,0.21390533447265625,17.805213928222656,,,,
fattree-k24-bfs-ar-8MB,24,0,NodeBfs,64.3173,46.5862,2245.56,2322.409218788147,3.4838905334472656,21.02303695678711,,,,
fattree-k24-rb-ar-16MB,25,0,RuleBased,1.26928,124.086,3832.58,3838.9626638889313,0.2137298583984375,17.80657958984375,,,,
fattree-k24-bfs-ar-16MB,26,0,NodeBfs,65.774,85.6805,3861.59,3939.0641112327576,3.4839401245117188,21.025257110595703,,,,
fattree-k24-rb-ar-64MB,27,0,RuleBased,1.27362,541.762,13106.6,13113.4264087677,0.2137603759765625,17.807376861572266,,,,
fattree-k24-bfs-ar-64MB,28,0,NodeBfs,65.1743,305.868,13283.1,13358.676357030869,3.4841537475585938,21.026229858398438,,,,
fattree-k24-rb-ar-128MB,29,0,RuleBased,1.28086,1106.36,25401.3,25405.48749256134,0.21383285522460938,17.807945251464844,,,,
fattree-k24-bfs-ar-128MB,30,0,NodeBfs,65.9085,595.365,25823.8,25900.989337921143,3.4841156005859375,21.02851104736328,,,,
