name,core,rc,routing,init_s,lookup_s,exec_s,wall_s,init_peak_mem_gb,exec_peak_mem_gb,cache_references,cache_misses,cache_miss_rate,perf_file
fattree-perf-k8-rb-ar-1MB,15,0,RuleBased,0.064824,0.020232,18.2923,20.021681308746338,0.0229949951171875,0.264190673828125,517060009,79333438,0.15343178087478043,results/perf-fattree-perf-k8-rb-ar-1MB-20250914-203058.txt
fattree-perf-k8-bfs-ar-1MB,16,0,NodeBfs,0.103969,0.005083,17.7132,20.021390676498413,0.0283355712890625,0.2703590393066406,525389427,79620926,0.1515464946727982,results/perf-fattree-perf-k8-bfs-ar-1MB-20250914-203058.txt
fattree-perf-k8-glo-ar-1MB,15,0,Global,0.583222,,53.3442,55.06069874763489,0.04671478271484375,0.2882347106933594,3233875726,349857651,0.1081852491074977,results/perf-fattree-perf-k8-glo-ar-1MB-20250914-203421.txt
fattree-perf-k16-rb-ar-1MB,16,0,RuleBased,0.39059,0.765512,127.61,135.14049577713013,0.0753173828125,2.044158935546875,3531309753,2054440040,0.5817784855193359,results/perf-fattree-perf-k16-rb-ar-1MB-20250914-203421.txt
fattree-perf-k16-bfs-ar-1MB,17,0,NodeBfs,3.90195,2.11822,127.28,140.1466417312622,0.3621253967285156,2.330677032470703,3684601980,2115664931,0.5741909010752906,results/perf-fattree-perf-k16-bfs-ar-1MB-20250914-203421.txt
fattree-perf-k16-glo-ar-1MB,18,0,Global,120.43,,3208.49,3338.3753490448,1.5791435241699219,3.547657012939453,333117666709,43272467870,0.12990144983154353,results/perf-fattree-perf-k16-glo-ar-1MB-20250914-203421.txt
fattree-perf-k24-rb-ar-1MB,19,0,RuleBased,1.26234,4.3124,438.014,445.45351696014404,0.2135162353515625,6.772712707519531,11220268588,8505164967,0.7580179476359609,results/perf-fattree-perf-k24-rb-ar-1MB-20250914-203421.txt
fattree-perf-k24-bfs-ar-1MB,20,0,NodeBfs,54.7212,8.09659,435.233,505.51436018943787,3.4838027954101562,10.04446029663086,13457821595,9405531009,0.6988895596962326,results/perf-fattree-perf-k24-bfs-ar-1MB-20250914-203421.txt
fattree-perf-k32-rb-ar-1MB,15,0,RuleBased,2.98358,11.8757,1082.83,1091.1190626621246,0.4813728332519531,15.040172576904297,26697747489,21935677178,0.8216302587713789,results/perf-fattree-perf-k32-rb-ar-1MB-20250914-203516.txt
fattree-perf-k32-bfs-ar-1MB,16,0,NodeBfs,407.018,19.0956,1082.79,1531.571780204773,17.340744018554688,31.905357360839844,41694452833,30675287595,0.7357162766439127,results/perf-fattree-perf-k32-bfs-ar-1MB-20250914-203636.txt
fattree-perf-k40-rb-ar-1MB,17,0,RuleBased,5.88507,25.6755,2167.1,2187.2200813293457,0.9192657470703125,28.195369720458984,52891365081,44119060361,0.834144860761946,results/perf-fattree-perf-k40-rb-ar-1MB-20250914-203641.txt
fattree-perf-k40-bfs-ar-1MB,19,0,NodeBfs,1718.55,36.7522,2124.94,3999.0516052246094,69.55052947998047,96.83127212524414,113259525938,79681749090,0.7035324263463633,results/perf-fattree-perf-k40-bfs-ar-1MB-20250914-204146.txt
fattree-perf-k48-rb-ar-1MB,20,0,RuleBased,10.2333,35.1188,3690.44,3718.763902425766,1.5656585693359375,47.30294418334961,91346016089,74174748744,0.8120195266286191,results/perf-fattree-perf-k48-rb-ar-1MB-20250914-204247.txt
fattree-perf-k48-bfs-ar-1MB,15,0,NodeBfs,4943.33,63.2922,3613.61,9014.135967493057,197.8334732055664,243.57640838623047,274507829907,162568338848,0.5922174930422794,results/perf-fattree-perf-k48-bfs-ar-1MB-20250915-155529.txt
fattree-perf-k56-rb-ar-1MB,16,0,RuleBased,16.5657,50.5855,5754.98,5800.8768990039825,2.464000701904297,73.54608917236328,144154093592,114269443776,0.7926895513589599,results/perf-fattree-perf-k56-rb-ar-1MB-20250915-155529.txt
