name,core,rc,routing,init_s,lookup_s,exec_s,wall_s,init_peak_mem_gb,exec_peak_mem_gb,cache_references,cache_misses,cache_miss_rate,perf_file
fattree-mem-ft-k8-glo-ar-1MB,2,0,Global,0.591665,,49.6819,55.053467988967896,0.04677581787109375,0.2882232666015625,,,,
fattree-mem-ft-k8-rb-ar-1MB,0,0,RuleBased,0.065531,0.028682,19.9271,25.03355073928833,0.023113250732421875,0.2643089294433594,,,,
fattree-mem-ft-k8-bfs-ar-1MB,1,0,NodeBfs,0.105402,0.056499,19.6025,25.03299307823181,0.028347015380859375,0.2702980041503906,,,,
fattree-mem-ft-k16-glo-ar-1MB,3,0,Global,120.982,,3079.75,3208.1392934322357,1.5793342590332031,3.5478553771972656,,,,
fattree-mem-ft-k16-rb-ar-1MB,2,0,RuleBased,0.393106,1.05759,132.876,140.15477204322815,0.07513427734375,2.043987274169922,,,,
fattree-mem-ft-k16-bfs-ar-1MB,3,0,NodeBfs,3.88003,2.56318,135.937,145.16085362434387,0.3619346618652344,2.330535888671875,,,,
fattree-mem-ft-k24-rb-ar-1MB,4,0,RuleBased,1.26896,4.87015,454.275,460.46591114997864,0.21358489990234375,6.7728424072265625,,,,
fattree-mem-ft-k24-bfs-ar-1MB,5,0,NodeBfs,61.7877,9.00673,453.902,530.5411722660065,3.48382568359375,10.044200897216797,,,,
fattree-mem-ft-k32-glo-ar-1MB,6,0,Global,,,,,,,,,,
fattree-mem-ft-k32-rb-ar-1MB,6,0,RuleBased,3.01673,12.1098,1081.77,1091.1125257015228,0.4810905456542969,15.039836883544922,,,,
fattree-mem-ft-k32-bfs-ar-1MB,7,0,NodeBfs,448.748,19.0932,1071.25,1561.5947515964508,17.340633392333984,31.905372619628906,,,,
fattree-mem-ft-k40-glo-ar-1MB,6,0,Global,,,,,,,,,,
fattree-mem-ft-k40-rb-ar-1MB,8,0,RuleBased,5.95626,24.8918,2135.25,2152.2003090381622,0.9191360473632812,28.195240020751953,,,,
fattree-mem-ft-k40-bfs-ar-1MB,9,0,NodeBfs,1767.87,38.1647,2153.76,4079.1742010116577,69.55032730102539,96.83123779296875,,,,
fattree-mem-ft-k48-glo-ar-1MB,6,0,Global,,,,,,,,,,
fattree-mem-ft-k48-rb-ar-1MB,10,0,RuleBased,10.3225,36.2718,3689.94,3718.8120012283325,1.565399169921875,47.302635192871094,,,,
fattree-mem-ft-k48-bfs-ar-1MB,0,0,NodeBfs,5516.0,71.0693,3960.76,9974.921179533005,197.83352661132812,243.57648468017578,,,,
fattree-mem-ft-k56-glo-ar-1MB,6,0,Global,,,,,,,,,,
fattree-mem-ft-k56-rb-ar-1MB,1,0,RuleBased,16.6502,62.0609,5924.6,5971.082441329956,2.4639129638671875,73.54599380493164,,,,
fattree-mem-ft-k56-bfs-ar-1MB,0,0,NodeBfs,13687.6,110.192,7181.26,22232.236221313477,485.7606773376465,556.8510475158691,,,,
fattree-mem-ft-k64-glo-ar-1MB,6,0,Global,,,,,,,,,,
fattree-mem-ft-k64-bfs-ar-1MB,6,0,NodeBfs,,,,,,,,,,
fattree-mem-ft-k64-rb-ar-1MB,3,250,RuleBased,25.1386,95.5137,8956.01,9003.940363645554,3.6757431030273438,108.05887985229492,,,,
fattree-mem-ft-k72-glo-ar-1MB,6,0,Global,,,,,,,,,,
fattree-mem-ft-k72-bfs-ar-1MB,6,0,NodeBfs,,,,,,,,,,
fattree-mem-ft-k72-rb-ar-1MB,22,0,RuleBased,36.2046,125.561,13940.8,14060.155757188797,5.227817535400391,152.003662109375,,,,
fattree-mem-ft-k80-glo-ar-1MB,6,0,Global,,,,,,,,,,
fattree-mem-ft-k80-bfs-ar-1MB,6,0,NodeBfs,,,,,,,,,,
fattree-mem-ft-k80-rb-ar-1MB,23,250,RuleBased,50.4289,156.8,18797.3,18900.10747027397,7.139881134033203,206.4534912109375,,,,
fattree-mem-ft-k88-glo-ar-1MB,6,0,Global,,,,,,,,,,
fattree-mem-ft-k88-bfs-ar-1MB,6,0,NodeBfs,,,,,,,,,,
fattree-mem-ft-k88-rb-ar-1MB,24,250,RuleBased,66.7313,211.621,25018.0,25156.497735977173,9.472358703613281,271.5369758605957,,,,
fattree-mem-ft-k96-glo-ar-1MB,6,0,Global,,,,,,,,,,
fattree-mem-ft-k96-bfs-ar-1MB,6,0,NodeBfs,,,,,,,,,,
fattree-mem-ft-k96-rb-ar-1MB,0,0,RuleBased,86.8686,284.091,30339.9,30571.013423919678,12.262367248535156,351.6428909301758,,,,
