case_key,name,group,variant,param_name,param_value,config,routing,rc,init_s,exec_s,wall_s,exec_peak_mem_gb,exec_peak_mem_kb,forward_lookup_count,forward_lookup_total_s,forward_lookup_avg_s
dragonfly_valiant:h=2:nonminimal,dragonfly_valiant-h2-nonminimal,dragonfly_valiant,nonminimal,h,2,dragonfly_g9_a4_p2_h2_100g_1u.json,RuleBased,0,0.022264,12.729100,12.891835,0.159897,167664,1876661,0.143745,0.000000000
dragonfly_valiant:h=2:baseline,dragonfly_valiant-h2-baseline,dragonfly_valiant,baseline,h,2,/home/rashu/Nvwa-nvwa-evaluation/src/datacenter/examples/inputs/dragonfly_g9_a4_p2_h2_100g_1u_shortest.json,RuleBased,0,0.022642,8.143710,8.288351,0.132961,139420,1298662,0.009284,0.000000000
dragonfly_ugal:h=2:nonminimal,dragonfly_ugal-h2-nonminimal,dragonfly_ugal,nonminimal,h,2,dragonfly_g9_a4_p2_h2_100g_1u.json,RuleBased,0,0.022272,8.553000,8.717595,0.144135,151136,1298662,0.188552,0.000000000
dragonfly_ugal:h=2:baseline,dragonfly_ugal-h2-baseline,dragonfly_ugal,baseline,h,2,/home/rashu/Nvwa-nvwa-evaluation/src/datacenter/examples/inputs/dragonfly_g9_a4_p2_h2_100g_1u_shortest.json,RuleBased,0,0.022512,8.038510,8.181466,0.133102,139568,1298662,0.008771,0.000000000
torus_detour1:d=5:nonminimal,torus_detour1-d5-nonminimal,torus_detour1,nonminimal,d,5,torus3d_d5_detour1.json,RuleBased,0,0.031949,18.950500,19.264532,0.238705,250300,2564805,0.897413,0.000000000
torus_detour1:d=5:baseline,torus_detour1-d5-baseline,torus_detour1,baseline,d,5,/home/rashu/Nvwa-nvwa-evaluation/src/datacenter/examples/inputs/torus3d_d5_detour1_shortest.json,RuleBased,0,0.032258,13.734900,14.004788,0.199467,209156,1932258,0.027583,0.000000000
torus_detour2:d=5:nonminimal,torus_detour2-d5-nonminimal,torus_detour2,nonminimal,d,5,torus3d_d5_detour2.json,RuleBased,0,0.032463,24.458700,24.700215,0.253555,265872,3273929,1.530104,0.000000000
torus_detour2:d=5:baseline,torus_detour2-d5-baseline,torus_detour2,baseline,d,5,/home/rashu/Nvwa-nvwa-evaluation/src/datacenter/examples/inputs/torus3d_d5_detour2_shortest.json,RuleBased,0,0.032379,13.653900,13.923630,0.199364,209048,1932258,0.028176,0.000000000
dragonfly_valiant:h=4:nonminimal,dragonfly_valiant-h4-nonminimal,dragonfly_valiant,nonminimal,h,4,dragonfly_g33_a8_p4_h4_100g_1u.json,RuleBased,0,0.212782,313.840000,314.458609,2.146347,2250608,29344726,9.565366,0.000000000
dragonfly_valiant:h=4:baseline,dragonfly_valiant-h4-baseline,dragonfly_valiant,baseline,h,4,/home/rashu/Nvwa-nvwa-evaluation/src/datacenter/examples/inputs/dragonfly_g33_a8_p4_h4_100g_1u_shortest.json,RuleBased,0,0.213938,207.186000,207.742119,1.782162,1868732,20673692,1.637311,0.000000000
dragonfly_valiant:h=6:nonminimal,dragonfly_valiant-h6-nonminimal,dragonfly_valiant,nonminimal,h,6,dragonfly_g73_a12_p6_h6_100g_1u.json,RuleBased,0,1.061710,2171.890000,2175.192375,10.662601,11180548,148880902,125.073403,0.000001000
dragonfly_valiant:h=6:baseline,dragonfly_valiant-h6-baseline,dragonfly_valiant,baseline,h,6,/home/rashu/Nvwa-nvwa-evaluation/src/datacenter/examples/inputs/dragonfly_g73_a12_p6_h6_100g_1u_shortest.json,RuleBased,0,1.084970,1472.890000,1475.725019,8.891453,9323364,106019692,43.013040,0.000000000
