name,core,rc,routing,init_s,lookup_s,exec_s,wall_s,init_peak_mem_gb,exec_peak_mem_gb,cache_references,cache_misses,cache_miss_rate,perf_file
torus-perf-x5-y5-z5-gl-ar-1MB,42,0,Global,0.403042,36.1688,64.2404,70.0794448852539,0.0488128662109375,0.22583770751953125,3794314646,902726191,0.23791548019130726,results/perf-torus-perf-x5-y5-z5-glo-ar-1MB-20250915-165216.txt
torus-perf-x5-y5-z5-rb-ar-1MB,43,0,RuleBased,0.054373,0.168383,24.1119,25.031290531158447,0.02167510986328125,0.19872665405273438,694517657,252743302,0.3639119890655278,results/perf-torus-perf-x5-y5-z5-rb-ar-1MB-20250915-165216.txt
torus-perf-x5-y5-z5-bfs-ar-1MB,44,0,NodeBfsWithHost,0.093783,0.209401,23.2876,25.030983209609985,0.024776458740234375,0.20252609252929688,690627713,251041699,0.36349786473164597,results/perf-torus-perf-x5-y5-z5-bfs-ar-1MB-20250915-165216.txt
torus-perf-x10-y10-z10-gl-ar-1MB,47,0,Global,153.035,13221.1,13968.4,14129.23488163948,2.2258453369140625,3.9894866943359375,829111079289,306840847675,0.37008412423837084,results/perf-torus-perf-x10-y10-z10-gl-ar-1MB-20250915-165216.txt
torus-perf-x10-y10-z10-rb-ar-1MB,45,0,RuleBased,0.342091,15.6709,571.165,575.5884947776794,0.07021331787109375,1.8346176147460938,14244723125,11310106273,0.7939856867523355,results/perf-torus-perf-x10-y10-z10-rb-ar-1MB-20250915-165216.txt
torus-perf-x10-y10-z10-bfs-ar-1MB,46,0,NodeBfsWithHost,5.09821,37.2066,582.457,590.6038808822632,0.2969856262207031,2.0603599548339844,14176381094,11388645577,0.8033535146582734,results/perf-torus-perf-x10-y10-z10-bfs-ar-1MB-20250915-165216.txt
torus-perf-x15-y15-z15-rb-ar-1MB,42,0,RuleBased,1.15899,106.455,3030.33,3038.068998813629,0.201507568359375,6.604251861572266,73025249891,61150217300,0.8373845675471829,results/perf-torus-perf-x15-y15-z15-rb-ar-1MB-20250917-080144.txt
torus-perf-x15-y15-z15-bfs-ar-1MB,43,0,NodeBfsWithHost,83.8549,224.469,3060.6,3158.1880066394806,2.8247833251953125,9.223888397216797,74836710354,62013302998,0.8286481688553459,results/perf-torus-perf-x15-y15-z15-bfs-ar-1MB-20250917-080144.txt
torus-perf-x20-y20-z20-rb-ar-1MB,48,0,RuleBased,2.81958,516.382,10503.1,10520.63595032692,0.457763671875,16.384140014648438,237443254000,213363260631,0.8985863234126669,results/perf-torus-perf-x20-y20-z20-rb-ar-1MB-20250915-165216.txt
torus-perf-x20-y20-z20-bfs-ar-1MB,49,0,NodeBfsWithHost,641.645,861.034,10754.5,11476.552994251251,15.220027923583984,31.153621673583984,255810234777,224573099808,0.8778894245719658,results/perf-torus-perf-x20-y20-z20-bfs-ar-1MB-20250915-165216.txt
