topology,scale_name,scale_value,routing,threads,init_time_s,init_mem_gb,route_mem_gb,exec_time_s,exec_mem_gb,wall_s,hosts,repeat_count
fattree,k,8,Global,1,0.268384,0.049824,,17.372600,0.169666,17.885501,128,1
fattree,k,8,NodeBfs,1,0.055250,0.022064,,5.084630,0.151054,5.507232,128,1
fattree,k,8,RuleBased,1,0.026839,0.022060,,5.221650,0.153660,5.516650,128,1
fattree,k,16,Global,1,52.450600,1.561592,,1360.690000,2.499779,1414.861804,1024,1
fattree,k,16,NodeBfs,1,3.464260,0.342300,,41.845500,1.282410,46.485489,1024,1
fattree,k,16,RuleBased,1,0.156368,0.022102,,43.123600,1.018669,44.136807,1024,1
fattree,k,24,Global,1,1398.740000,17.250290,,16356.000000,20.197819,17766.775287,3456,1
fattree,k,24,NodeBfs,1,44.201700,3.407894,,140.449000,6.356625,191.914442,3456,1
fattree,k,24,RuleBased,1,0.519240,0.124336,,141.982000,3.131035,145.151269,3456,1
fattree,k,32,NodeBfs,1,274.790000,17.151283,,333.057000,23.810394,642.470232,8192,1
fattree,k,32,RuleBased,1,1.242240,0.269566,,338.310000,7.034107,345.288114,8192,1
fattree,k,40,NodeBfs,1,1323.760000,69.175423,,682.357000,81.844765,2145.259677,16000,1
fattree,k,40,RuleBased,1,2.425890,0.516747,,675.725000,13.340137,689.491066,16000,1
fattree,k,48,NodeBfs,1,5110.240000,197.179157,,1210.050000,218.768963,6750.614387,27648,1
fattree,k,48,RuleBased,1,4.200500,0.905464,,1181.590000,22.696388,1204.400626,27648,1
fattree,k,56,NodeBfs,1,14561.000000,484.741314,,1974.550000,518.737671,18140.649354,43904,1
fattree,k,56,RuleBased,1,6.727940,1.465015,,1861.030000,35.683670,1896.625988,43904,1
fattree,k,64,RuleBased,1,10.231700,2.208679,,2839.940000,52.858494,2893.876717,65536,1
fattree,k,72,RuleBased,1,14.746600,3.115593,,4094.630000,74.926804,4170.382647,93312,1
fattree,k,80,RuleBased,1,20.368600,4.301098,,5697.340000,102.388309,5801.295185,128000,1
fattree,k,88,RuleBased,1,27.073100,5.663502,,7596.720000,135.936008,7733.638568,170368,1
fattree,k,96,RuleBased,1,35.408100,7.332703,,10008.800000,175.928089,10187.524781,221184,1
