case_id,repeat,routing,k,stage,category,rss_kb,profile_kb,delta_kb,share_pct,detail,pid,start_rss_kb,final_rss_kb,start_profile_kb,final_profile_kb,profiler,total_delta_kb,positive_delta_kb,samples
fattree_k4_NodeBfs_r1,1,NodeBfs,4,program_start,process,16124,640,0,0.0,after_cli_parse,571703,16124,18432,640,1979,heap_allocated,1339,1339,13
fattree_k4_NodeBfs_r1,1,NodeBfs,4,config_json,input_config,16124,656,16,1.19,"bytes=630,templates=3",571703,16124,18432,640,1979,heap_allocated,1339,1339,13
fattree_k4_NodeBfs_r1,1,NodeBfs,4,routing_helper_setup,helper_objects,16124,657,1,0.07,routing=NodeBfs,571703,16124,18432,640,1979,heap_allocated,1339,1339,13
fattree_k4_NodeBfs_r1,1,NodeBfs,4,template_build,topology_templates,16124,657,0,0.0,templates=3,571703,16124,18432,640,1979,heap_allocated,1339,1339,13
fattree_k4_NodeBfs_r1,1,NodeBfs,4,topology_seed,topology_objects,16124,673,16,1.19,"levels=1,nodes=1",571703,16124,18432,640,1979,heap_allocated,1339,1339,13
fattree_k4_NodeBfs_r1,1,NodeBfs,4,topology_build,topology_objects,18120,1765,1092,81.55,builder.Build,571703,16124,18432,640,1979,heap_allocated,1339,1339,13
fattree_k4_NodeBfs_r1,1,NodeBfs,4,address_registration,address_directory,18120,1772,7,0.52,RegisterAddresses,571703,16124,18432,640,1979,heap_allocated,1339,1339,13
fattree_k4_NodeBfs_r1,1,NodeBfs,4,routing_node_bfs_next_hop_map,node_bfs_routing,18120,1841,69,5.15,records=768,571703,16124,18432,640,1979,heap_allocated,1339,1339,13
fattree_k4_NodeBfs_r1,1,NodeBfs,4,routing_node_bfs_routing_table,node_bfs_routing,18120,1893,52,3.88,entries=768,571703,16124,18432,640,1979,heap_allocated,1339,1339,13
fattree_k4_NodeBfs_r1,1,NodeBfs,4,routing_state,node_bfs_routing,18120,1895,2,0.15,entries=768,571703,16124,18432,640,1979,heap_allocated,1339,1339,13
fattree_k4_NodeBfs_r1,1,NodeBfs,4,traffic_grouped_ring_allreduce,traffic_objects,18120,1903,8,0.6,"hosts=16,flows=224,group_size=8,placement=strided",571703,16124,18432,640,1979,heap_allocated,1339,1339,13
fattree_k4_NodeBfs_r1,1,NodeBfs,4,applications,traffic_objects,18432,1979,76,5.68,"hosts=16,flows=224,replay=batch",571703,16124,18432,640,1979,heap_allocated,1339,1339,13
fattree_k4_NodeBfs_r1,1,NodeBfs,4,initialization_ready,process,18432,1979,0,0.0,before_simulator_run,571703,16124,18432,640,1979,heap_allocated,1339,1339,13
fattree_k8_NodeBfs_r1,1,NodeBfs,8,program_start,process,16024,640,0,0.0,after_cli_parse,571705,16024,31252,640,14735,heap_allocated,14095,14095,13
fattree_k8_NodeBfs_r1,1,NodeBfs,8,config_json,input_config,16024,656,16,0.11,"bytes=631,templates=3",571705,16024,31252,640,14735,heap_allocated,14095,14095,13
fattree_k8_NodeBfs_r1,1,NodeBfs,8,routing_helper_setup,helper_objects,16024,657,1,0.01,routing=NodeBfs,571705,16024,31252,640,14735,heap_allocated,14095,14095,13
fattree_k8_NodeBfs_r1,1,NodeBfs,8,template_build,topology_templates,16024,657,0,0.0,templates=3,571705,16024,31252,640,14735,heap_allocated,14095,14095,13
fattree_k8_NodeBfs_r1,1,NodeBfs,8,topology_seed,topology_objects,16024,673,16,0.11,"levels=1,nodes=1",571705,16024,31252,640,14735,heap_allocated,14095,14095,13
fattree_k8_NodeBfs_r1,1,NodeBfs,8,topology_build,topology_objects,24768,8358,7685,54.52,builder.Build,571705,16024,31252,640,14735,heap_allocated,14095,14095,13
fattree_k8_NodeBfs_r1,1,NodeBfs,8,address_registration,address_directory,24768,8427,69,0.49,RegisterAddresses,571705,16024,31252,640,14735,heap_allocated,14095,14095,13
fattree_k8_NodeBfs_r1,1,NodeBfs,8,routing_node_bfs_next_hop_map,node_bfs_routing,28200,11705,3278,23.26,records=49152,571705,16024,31252,640,14735,heap_allocated,14095,14095,13
fattree_k8_NodeBfs_r1,1,NodeBfs,8,routing_node_bfs_routing_table,node_bfs_routing,30312,14066,2361,16.75,entries=49152,571705,16024,31252,640,14735,heap_allocated,14095,14095,13
fattree_k8_NodeBfs_r1,1,NodeBfs,8,routing_state,node_bfs_routing,30312,14068,2,0.01,entries=49152,571705,16024,31252,640,14735,heap_allocated,14095,14095,13
fattree_k8_NodeBfs_r1,1,NodeBfs,8,traffic_grouped_ring_allreduce,traffic_objects,30576,14125,57,0.4,"hosts=128,flows=1792,group_size=8,placement=strided",571705,16024,31252,640,14735,heap_allocated,14095,14095,13
fattree_k8_NodeBfs_r1,1,NodeBfs,8,applications,traffic_objects,31116,14735,610,4.33,"hosts=128,flows=1792,replay=batch",571705,16024,31252,640,14735,heap_allocated,14095,14095,13
fattree_k8_NodeBfs_r1,1,NodeBfs,8,initialization_ready,process,31252,14735,0,0.0,before_simulator_run,571705,16024,31252,640,14735,heap_allocated,14095,14095,13
fattree_k16_NodeBfs_r1,1,NodeBfs,16,program_start,process,16184,640,0,0.0,after_cli_parse,571707,16184,381424,640,364582,heap_allocated,363942,363942,13
fattree_k16_NodeBfs_r1,1,NodeBfs,16,config_json,input_config,16184,656,16,0.0,"bytes=632,templates=3",571707,16184,381424,640,364582,heap_allocated,363942,363942,13
fattree_k16_NodeBfs_r1,1,NodeBfs,16,routing_helper_setup,helper_objects,16184,657,1,0.0,routing=NodeBfs,571707,16184,381424,640,364582,heap_allocated,363942,363942,13
fattree_k16_NodeBfs_r1,1,NodeBfs,16,template_build,topology_templates,16184,657,0,0.0,templates=3,571707,16184,381424,640,364582,heap_allocated,363942,363942,13
fattree_k16_NodeBfs_r1,1,NodeBfs,16,topology_seed,topology_objects,16184,673,16,0.0,"levels=1,nodes=1",571707,16184,381424,640,364582,heap_allocated,363942,363942,13
fattree_k16_NodeBfs_r1,1,NodeBfs,16,topology_build,topology_objects,74120,57725,57052,15.68,builder.Build,571707,16184,381424,640,364582,heap_allocated,363942,363942,13
fattree_k16_NodeBfs_r1,1,NodeBfs,16,address_registration,address_directory,74648,58286,561,0.15,RegisterAddresses,571707,16184,381424,640,364582,heap_allocated,363942,363942,13
fattree_k16_NodeBfs_r1,1,NodeBfs,16,routing_node_bfs_next_hop_map,node_bfs_routing,253112,236589,178303,48.99,records=3145728,571707,16184,381424,640,364582,heap_allocated,363942,363942,13
