case_id,repeat,routing,k,stage,category,duration_s,share_pct,accounted,detail,total_s,accounted_s,other_s,samples
fattree_k4_NodeBfs_r1,1,NodeBfs,4,config_json,input_config,0.000047,0.40,yes,"bytes=630,templates=3",0.011665,0.011643,0.000022,17
fattree_k4_NodeBfs_r1,1,NodeBfs,4,routing_helper_setup,helper_objects,0.000051,0.44,yes,routing=NodeBfs,0.011665,0.011643,0.000022,17
fattree_k4_NodeBfs_r1,1,NodeBfs,4,template_build,topology_templates,0.000031,0.27,yes,templates=3,0.011665,0.011643,0.000022,17
fattree_k4_NodeBfs_r1,1,NodeBfs,4,topology_build,topology_objects,0.010789,92.49,yes,builder.Build,0.011665,0.011643,0.000022,17
fattree_k4_NodeBfs_r1,1,NodeBfs,4,address_registration,address_directory,0.000021,0.18,yes,RegisterAddresses,0.011665,0.011643,0.000022,17
fattree_k4_NodeBfs_r1,1,NodeBfs,4,routing_node_bfs_calculate_routes,node_bfs_detail,0.000308,2.64,no,"routing=NodeBfs,next_hop_records=768",0.011665,0.011643,0.000022,17
fattree_k4_NodeBfs_r1,1,NodeBfs,4,routing_node_bfs_set_routing_entries,node_bfs_detail,0.000120,1.03,no,"routing=NodeBfs,entries=768",0.011665,0.011643,0.000022,17
fattree_k4_NodeBfs_r1,1,NodeBfs,4,routing_node_bfs_next_hop_reset,node_bfs_detail,0.000000,0.00,no,routing=NodeBfs,0.011665,0.011643,0.000022,17
fattree_k4_NodeBfs_r1,1,NodeBfs,4,routing_node_bfs_host_index,node_bfs_detail,0.000003,0.03,no,"routing=NodeBfs,sources=16",0.011665,0.011643,0.000022,17
fattree_k4_NodeBfs_r1,1,NodeBfs,4,routing_node_bfs_bfs,node_bfs_detail,0.000302,2.59,no,"routing=NodeBfs,sources=16,node_visits=336,edge_scans=1296,discoveries=560,next_hop_records=768,next_hop_src_nodes=36,next_hop_dst_nodes=560",0.011665,0.011643,0.000022,17
fattree_k4_NodeBfs_r1,1,NodeBfs,4,routing_node_bfs_clear_tables,node_bfs_detail,0.000004,0.03,no,"routing=NodeBfs,nodes_visited=36,protocols_cleared=36",0.011665,0.011643,0.000022,17
fattree_k4_NodeBfs_r1,1,NodeBfs,4,routing_node_bfs_install_entries,node_bfs_detail,0.000116,0.99,no,"routing=NodeBfs,table_destinations=560,entries=768",0.011665,0.011643,0.000022,17
fattree_k4_NodeBfs_r1,1,NodeBfs,4,routing_node_bfs_count_entries,node_bfs_detail,0.000014,0.12,no,"routing=NodeBfs,entries=768",0.011665,0.011643,0.000022,17
fattree_k4_NodeBfs_r1,1,NodeBfs,4,routing_node_bfs_set_ecmp_policy,node_bfs_detail,0.000002,0.01,no,routing=NodeBfs,0.011665,0.011643,0.000022,17
fattree_k4_NodeBfs_r1,1,NodeBfs,4,routing_computation,node_bfs_routing,0.000462,3.96,yes,"routing=NodeBfs,entries=768",0.011665,0.011643,0.000022,17
fattree_k4_NodeBfs_r1,1,NodeBfs,4,traffic_generation,traffic_objects,0.000013,0.11,yes,"pattern=allreduce,flows=16",0.011665,0.011643,0.000022,17
fattree_k4_NodeBfs_r1,1,NodeBfs,4,application_setup,traffic_objects,0.000229,1.97,yes,"hosts=16,flows=16,replay=batch",0.011665,0.011643,0.000022,17
fattree_k4_NodeBfs_r1,1,NodeBfs,4,other,unaccounted,0.000022,0.19,yes,,0.011665,0.011643,0.000022,17
fattree_k8_NodeBfs_r1,1,NodeBfs,8,config_json,input_config,0.000032,0.05,yes,"bytes=631,templates=3",0.063244,0.063225,0.000019,17
fattree_k8_NodeBfs_r1,1,NodeBfs,8,routing_helper_setup,helper_objects,0.000042,0.07,yes,routing=NodeBfs,0.063244,0.063225,0.000019,17
fattree_k8_NodeBfs_r1,1,NodeBfs,8,template_build,topology_templates,0.000027,0.04,yes,templates=3,0.063244,0.063225,0.000019,17
fattree_k8_NodeBfs_r1,1,NodeBfs,8,topology_build,topology_objects,0.032245,50.98,yes,builder.Build,0.063244,0.063225,0.000019,17
