topology,scale_name,scale_value,routing,threads,data_size,init_time_s,init_mem_gb,route_mem_gb,exec_time_s,exec_mem_gb,wall_s,hosts,repeat_count
dragonfly,h,2,Global,1,1048576,0.046067,0.018303,,3.714020,0.079735,3.998689,72,1
dragonfly,h,2,NodeBfs,1,,0.022167,0.024094,,2.539530,0.086029,2.652588,72,1
dragonfly,h,2,RuleBased,1,,0.015978,0.022152,,2.751760,0.086895,2.863250,72,1
dragonfly,h,4,Global,1,1048576,38.660700,0.330276,,681.069000,1.190720,721.351636,1056,1
dragonfly,h,4,NodeBfs,1,,2.916290,0.317459,,48.868500,1.235222,53.453668,1056,1
dragonfly,h,4,RuleBased,1,,0.136599,0.021931,,50.927700,0.992966,52.359980,1056,1
dragonfly,h,6,Global,1,1048576,6258.860000,5.015919,,18937.300000,9.300640,25207.315169,5256,1
dragonfly,h,6,NodeBfs,1,,86.963600,6.471485,,304.419000,10.971588,406.100540,5256,1
dragonfly,h,6,RuleBased,1,,0.678124,0.176456,,304.760000,4.775135,309.012956,5256,1
dragonfly,h,8,NodeBfs,1,,1076.590000,59.019096,,1046.900000,72.732780,2272.076526,16512,1
dragonfly,h,8,RuleBased,1,,2.171310,0.461746,,1033.000000,14.634800,1046.660612,16512,1
dragonfly,h,10,NodeBfs,1,,9806.520000,336.540936,,2632.660000,369.284527,13312.395436,40200,1
dragonfly,h,10,RuleBased,1,,5.504150,1.149933,,2556.330000,34.888500,2591.076523,40200,1
