topology,scale_name,scale_value,routing,threads,data_size,init_time_s,init_mem_gb,route_mem_gb,exec_time_s,exec_mem_gb,wall_s,hosts,repeat_count
dragonfly,h,4,NodeBfs,1,1048576,3.145910,0.328884,,44.485200,1.189232,49.489396,1056,1
dragonfly,h,4,NodeBfs,1,8388608,3.126700,0.328983,,185.013000,5.527020,196.302600,1056,1
dragonfly,h,4,NodeBfs,1,16777216,3.125790,0.328709,,231.079000,5.875404,243.006917,1056,1
dragonfly,h,4,NodeBfs,1,67108864,3.122310,0.328766,,517.316000,6.313896,521.102223,1056,1
dragonfly,h,4,NodeBfs,1,134217728,3.133300,0.328861,,892.562000,6.325031,896.475348,1056,1
dragonfly,h,4,RuleBased,1,1048576,0.177262,0.018200,,44.165100,0.926643,45.683490,1056,1
dragonfly,h,4,RuleBased,1,8388608,0.176919,0.018326,,184.983000,5.265064,192.467022,1056,1
dragonfly,h,4,RuleBased,1,16777216,0.176931,0.018192,,230.446000,5.615238,238.561705,1056,1
dragonfly,h,4,RuleBased,1,67108864,0.177336,0.018017,,531.610000,6.055069,532.072432,1056,1
dragonfly,h,4,RuleBased,1,134217728,0.177682,0.018097,,924.009000,6.068756,924.504491,1056,1
dragonfly,h,6,NodeBfs,1,1048576,89.421000,6.553940,,249.952000,10.839874,357.687382,5256,1
dragonfly,h,6,NodeBfs,1,8388608,89.433900,6.554008,,979.107000,32.398632,1121.023405,5256,1
dragonfly,h,6,NodeBfs,1,16777216,89.643800,6.554085,,1256.680000,34.262764,1402.457213,5256,1
dragonfly,h,6,RuleBased,1,1048576,0.882927,0.191071,,250.009000,4.547791,258.468462,5256,1
dragonfly,h,6,RuleBased,1,8388608,0.867528,0.195663,,1012.040000,26.107010,1053.034572,5256,1
dragonfly,h,6,RuleBased,1,16777216,0.874301,0.193279,,1267.940000,27.970860,1312.266140,5256,1
