topology,scale_name,scale_value,routing,threads,data_size,init_time_s,init_mem_gb,route_mem_gb,exec_time_s,exec_mem_gb,wall_s,hosts,repeat_count
fattree,k,16,NodeBfs,1,1048576,3.651920,0.358936,,33.785500,1.200607,39.156412,1024,1
fattree,k,16,NodeBfs,1,8388608,3.628530,0.358448,,138.767000,5.424541,149.542744,1024,1
fattree,k,16,NodeBfs,1,16777216,3.653240,0.358452,,182.929000,5.633522,193.689475,1024,1
fattree,k,16,NodeBfs,1,67108864,3.646700,0.358452,,442.566000,5.637676,446.990483,1024,1
fattree,k,16,NodeBfs,1,134217728,3.625560,0.358963,,790.884000,5.640785,795.263163,1024,1
fattree,k,16,RuleBased,1,1048576,0.198352,0.018127,,33.902200,0.915688,35.377954,1024,1
fattree,k,16,RuleBased,1,8388608,0.197919,0.018314,,139.823000,5.140537,146.426957,1024,1
fattree,k,16,RuleBased,1,16777216,0.211046,0.018284,,183.953000,5.350807,190.686987,1024,1
fattree,k,16,RuleBased,1,67108864,0.197603,0.018051,,456.407000,5.354885,456.908762,1024,1
fattree,k,16,RuleBased,1,134217728,0.198996,0.018269,,811.742000,5.357937,812.258364,1024,1
fattree,k,24,NodeBfs,1,1048576,45.782300,3.469242,,101.113000,6.313740,156.117842,3456,1
fattree,k,24,NodeBfs,1,8388608,45.785800,3.468933,,475.237000,20.486462,549.230335,3456,1
fattree,k,24,NodeBfs,1,16777216,45.715000,3.468971,,626.889000,20.493912,701.441699,3456,1
fattree,k,24,NodeBfs,1,67108864,46.385800,3.468979,,1569.280000,20.497799,1621.413374,3456,1
fattree,k,24,NodeBfs,1,134217728,46.326500,3.468796,,2803.370000,20.501202,2855.406107,3456,1
fattree,k,24,RuleBased,1,1048576,0.664225,0.136147,,101.071000,3.048904,106.022272,3456,1
fattree,k,24,RuleBased,1,8388608,0.655336,0.138397,,481.191000,17.224651,504.601244,3456,1
fattree,k,24,RuleBased,1,16777216,0.655629,0.137032,,660.799000,17.231125,664.718233,3456,1
fattree,k,24,RuleBased,1,67108864,0.668403,0.132919,,1618.350000,17.238056,1620.014537,3456,1
fattree,k,24,RuleBased,1,134217728,0.644592,0.139889,,2906.560000,17.243206,2908.189421,3456,1
