name,topology,k,failure_rate,routing,rc,init_s,exec_s,bfs_routing_s,wall_s,exec_peak_mem_gb,exec_peak_mem_bytes,failure_update_count,failure_update_total_s,failure_update_p90_s,failure_update_p95_s,failure_update_p99_s,failure_forward_exc_trie_total_s,forward_lookup_count,forward_lookup_total_s,forward_lookup_avg_s
fattree-failure-ft-k8-fr0.001-rulebased,fattree,8,0.001,RuleBased,0,0.032408,3.707010,,3.761812,0.031235,33538048,1,0.000424,0.000424,0.000424,0.000424,0.000006,699216,0.000451,0.000000000
fattree-failure-ft-k16-fr0.001-rulebased,fattree,16,0.001,RuleBased,0,0.207952,30.060400,,30.353716,0.125530,134787072,3,0.001682,0.000983,0.001068,0.001135,0.000021,4896256,0.006597,0.000000000
fattree-failure-ft-k24-fr0.001-rulebased,fattree,24,0.001,RuleBased,0,0.659263,129.112000,,130.096243,0.370323,397631488,7,0.011976,0.003157,0.003220,0.003270,0.000156,15780384,0.037584,0.000000000
fattree-failure-ft-k32-fr0.001-rulebased,fattree,32,0.001,RuleBased,0,1.562720,427.586000,,430.055370,0.847939,910467072,17,0.074251,0.007252,0.008005,0.008190,0.000662,36638784,0.718597,0.000001000
fattree-failure-ft-k40-fr0.001-rulebased,fattree,40,0.001,RuleBased,0,3.103130,907.081000,,911.853798,1.628902,1749020672,32,0.241585,0.012595,0.013471,0.015081,0.001745,70054400,2.704260,0.000001000
fattree-failure-ft-k48-fr0.001-rulebased,fattree,48,0.001,RuleBased,0,5.266280,1577.400000,,1585.576055,2.801720,3008323584,56,0.856223,0.021778,0.024164,0.029081,0.004362,118046016,5.884045,0.000001000
fattree-failure-ft-k56-fr0.001-rulebased,fattree,56,0.001,RuleBased,0,8.473770,2552.110000,,2565.349966,4.420162,4746113024,88,1.899374,0.036342,0.037416,0.041039,0.013005,183933120,9.356882,0.000001000
fattree-failure-ft-k64-fr0.001-rulebased,fattree,64,0.001,RuleBased,0,13.020400,3986.260000,,4006.278526,6.655216,7145984000,132,4.089090,0.060130,0.061588,0.065725,0.021552,283851008,13.533115,0.000001000
fattree-failure-ft-k8-fr0.001-nodebfs,fattree,8,0.001,NodeBfs,0,0.061346,3.776010,0.029086,3.861744,0.036095,38756352,,,,,,0.000000,699216,0.001257,0.000000000
fattree-failure-ft-k16-fr0.001-nodebfs,fattree,16,0.001,NodeBfs,0,3.544720,31.343400,3.347090,35.308471,0.410202,440451072,,,,,,0.000000,4896256,0.134341,0.000001000
fattree-failure-ft-k24-fr0.001-nodebfs,fattree,24,0.001,NodeBfs,0,45.442000,132.593000,44.785000,183.015588,3.634136,3902124032,,,,,,0.000000,15780384,2.303444,0.000001000
fattree-failure-ft-k32-fr0.001-nodebfs,fattree,32,0.001,NodeBfs,0,282.911000,429.581000,281.362000,742.942161,17.690926,18995486720,,,,,,0.000000,36638784,21.267655,0.000001000
fattree-failure-ft-k40-fr0.001-nodebfs,fattree,40,0.001,NodeBfs,0,1443.470000,960.755000,1440.410000,2541.579751,70.242058,75421835264,,,,,,0.000000,70054400,72.537590,0.000001000
fattree-failure-ft-k48-fr0.001-nodebfs,fattree,48,0.001,NodeBfs,0,5347.110000,1656.190000,5341.870000,7406.607054,199.026531,213703110656,,,,,,0.000000,118046016,135.862794,0.000002000
fattree-failure-ft-k56-fr0.001-nodebfs,fattree,56,0.001,NodeBfs,0,16465.600000,2821.870000,16457.100000,20351.610492,487.692089,523655393280,,,,,,0.000000,183933120,229.414609,0.000002000
