case_key,name,group,variant,param_name,param_value,config,routing,rc,init_s,exec_s,wall_s,exec_peak_mem_gb,exec_peak_mem_kb,forward_lookup_count,forward_lookup_total_s,forward_lookup_avg_s
dragonfly_valiant:h=2:nonminimal,dragonfly_valiant-h2-nonminimal,dragonfly_valiant,nonminimal,h,2,dragonfly_g9_a4_p2_h2_100g_1u.json,RuleBased,0,0.018929,2.326200,2.359937,0.025040,26256,405288,0.162311,0.000001000
dragonfly_valiant:h=2:baseline,dragonfly_valiant-h2-baseline,dragonfly_valiant,baseline,h,2,Nvwa/src/datacenter/examples/inputs/dragonfly_g9_a4_p2_h2_100g_1u_shortest.json,RuleBased,0,0.018790,1.959050,1.991539,0.024891,26100,401192,0.000216,0.000000000
dragonfly_ugal:h=2:nonminimal,dragonfly_ugal-h2-nonminimal,dragonfly_ugal,nonminimal,h,2,dragonfly_g9_a4_p2_h2_100g_1u.json,RuleBased,0,0.018752,2.323420,2.355826,0.024879,26088,405288,0.161852,0.000001000
dragonfly_ugal:h=2:baseline,dragonfly_ugal-h2-baseline,dragonfly_ugal,baseline,h,2,Nvwa/src/datacenter/examples/inputs/dragonfly_g9_a4_p2_h2_100g_1u_shortest.json,RuleBased,0,0.018860,1.972950,2.005255,0.024921,26132,401192,0.000225,0.000000000
dragonfly_valiant:h=4:nonminimal,dragonfly_valiant-h4-nonminimal,dragonfly_valiant,nonminimal,h,4,dragonfly_g33_a8_p4_h4_100g_1u.json,RuleBased,0,0.179190,37.712300,37.970426,0.124043,130068,5098876,3.842590,0.000001000
dragonfly_valiant:h=4:baseline,dragonfly_valiant-h4-baseline,dragonfly_valiant,baseline,h,4,Nvwa/src/datacenter/examples/inputs/dragonfly_g33_a8_p4_h4_100g_1u_shortest.json,RuleBased,0,0.177473,32.878200,33.131465,0.120346,126192,5096796,0.009564,0.000000000
dragonfly_ugal:h=4:nonminimal,dragonfly_ugal-h4-nonminimal,dragonfly_ugal,nonminimal,h,4,dragonfly_g33_a8_p4_h4_100g_1u.json,RuleBased,0,0.175505,37.569100,37.821599,0.123871,129888,5098876,3.765972,0.000001000
dragonfly_ugal:h=4:baseline,dragonfly_ugal-h4-baseline,dragonfly_ugal,baseline,h,4,Nvwa/src/datacenter/examples/inputs/dragonfly_g33_a8_p4_h4_100g_1u_shortest.json,RuleBased,0,0.176137,32.829900,33.083157,0.120422,126272,5096796,0.008249,0.000000000
dragonfly_valiant:h=6:nonminimal,dragonfly_valiant-h6-nonminimal,dragonfly_valiant,nonminimal,h,6,dragonfly_g73_a12_p6_h6_100g_1u.json,RuleBased,0,0.874815,286.782000,288.044686,0.529713,555444,24108208,32.053695,0.000002000
dragonfly_valiant:h=6:baseline,dragonfly_valiant-h6-baseline,dragonfly_valiant,baseline,h,6,Nvwa/src/datacenter/examples/inputs/dragonfly_g73_a12_p6_h6_100g_1u_shortest.json,RuleBased,0,0.876343,255.698000,256.962393,0.511784,536644,24104024,0.305375,0.000001000
