topology,scale_name,scale_value,scale_label,system,routing,init_time_s,init_mem_gb,exec_time_s,exec_mem_gb,wall_s,total_time_s,hosts,repeat_count,source
fattree,k,8,FT8,ns-3,Global,0.268384,0.049824,17.372600,0.169666,17.885501,17.885501,128.000000,1,/users/tartar/Nvwa-artifact/data/experiment_data/experiment_1.csv
fattree,k,16,FT16,ns-3,Global,52.450600,1.561592,1360.690000,2.499779,1414.861804,1414.861804,1024.000000,1,/users/tartar/Nvwa-artifact/data/experiment_data/experiment_1.csv
fattree,k,24,FT24,ns-3,Global,1398.740000,17.250290,16356.000000,20.197819,17766.775287,17766.775287,3456.000000,1,/users/tartar/Nvwa-artifact/data/experiment_data/experiment_1.csv
fattree,k,8,FT8,ns-3-dc,NodeBfs,0.055250,0.022064,5.084630,0.151054,5.507232,5.507232,128.000000,1,/users/tartar/Nvwa-artifact/data/experiment_data/experiment_1.csv
fattree,k,16,FT16,ns-3-dc,NodeBfs,3.464260,0.342300,41.845500,1.282410,46.485489,46.485489,1024.000000,1,/users/tartar/Nvwa-artifact/data/experiment_data/experiment_1.csv
fattree,k,24,FT24,ns-3-dc,NodeBfs,44.201700,3.407894,140.449000,6.356625,191.914442,191.914442,3456.000000,1,/users/tartar/Nvwa-artifact/data/experiment_data/experiment_1.csv
fattree,k,32,FT32,ns-3-dc,NodeBfs,274.790000,17.151283,333.057000,23.810394,642.470232,642.470232,8192.000000,1,/users/tartar/Nvwa-artifact/data/experiment_data/experiment_1.csv
fattree,k,40,FT40,ns-3-dc,NodeBfs,1323.760000,69.175423,682.357000,81.844765,2145.259677,2145.259677,16000.000000,1,/users/tartar/Nvwa-artifact/data/experiment_data/experiment_1.csv
fattree,k,48,FT48,ns-3-dc,NodeBfs,5110.240000,197.179157,1210.050000,218.768963,6750.614387,6750.614387,27648.000000,1,/users/tartar/Nvwa-artifact/data/experiment_data/experiment_1.csv
fattree,k,56,FT56,ns-3-dc,NodeBfs,14561.000000,484.741314,1974.550000,518.737671,18140.649354,18140.649354,43904.000000,1,/users/tartar/Nvwa-artifact/data/experiment_data/experiment_1.csv
fattree,k,8,FT8,Nüwa,RuleBased,0.026839,0.022060,5.221650,0.153660,5.516650,5.516650,128.000000,1,/users/tartar/Nvwa-artifact/data/experiment_data/experiment_1.csv
fattree,k,16,FT16,Nüwa,RuleBased,0.156368,0.022102,43.123600,1.018669,44.136807,44.136807,1024.000000,1,/users/tartar/Nvwa-artifact/data/experiment_data/experiment_1.csv
fattree,k,24,FT24,Nüwa,RuleBased,0.519240,0.124336,141.982000,3.131035,145.151269,145.151269,3456.000000,1,/users/tartar/Nvwa-artifact/data/experiment_data/experiment_1.csv
fattree,k,32,FT32,Nüwa,RuleBased,1.242240,0.269566,338.310000,7.034107,345.288114,345.288114,8192.000000,1,/users/tartar/Nvwa-artifact/data/experiment_data/experiment_1.csv
fattree,k,40,FT40,Nüwa,RuleBased,2.425890,0.516747,675.725000,13.340137,689.491066,689.491066,16000.000000,1,/users/tartar/Nvwa-artifact/data/experiment_data/experiment_1.csv
fattree,k,48,FT48,Nüwa,RuleBased,4.200500,0.905464,1181.590000,22.696388,1204.400626,1204.400626,27648.000000,1,/users/tartar/Nvwa-artifact/data/experiment_data/experiment_1.csv
fattree,k,56,FT56,Nüwa,RuleBased,6.727940,1.465015,1861.030000,35.683670,1896.625988,1896.625988,43904.000000,1,/users/tartar/Nvwa-artifact/data/experiment_data/experiment_1.csv
fattree,k,64,FT64,Nüwa,RuleBased,10.231700,2.208679,2839.940000,52.858494,2893.876717,2893.876717,65536.000000,1,/users/tartar/Nvwa-artifact/data/experiment_data/experiment_1.csv
fattree,k,72,FT72,Nüwa,RuleBased,14.746600,3.115593,4094.630000,74.926804,4170.382647,4170.382647,93312.000000,1,/users/tartar/Nvwa-artifact/data/experiment_data/experiment_1.csv
fattree,k,80,FT80,Nüwa,RuleBased,20.368600,4.301098,5697.340000,102.388309,5801.295185,5801.295185,128000.000000,1,/users/tartar/Nvwa-artifact/data/experiment_data/experiment_1.csv
fattree,k,88,FT88,Nüwa,RuleBased,27.073100,5.663502,7596.720000,135.936008,7733.638568,7733.638568,170368.000000,1,/users/tartar/Nvwa-artifact/data/experiment_data/experiment_1.csv
fattree,k,96,FT96,Nüwa,RuleBased,35.408100,7.332703,10008.800000,175.928089,10187.524781,10187.524781,221184.000000,1,/users/tartar/Nvwa-artifact/data/experiment_data/experiment_1.csv
